id,make,model,year,engine,horsepower,torque,acceleration,price,url
1,Porsche,911,2022,3,379,331,4,"101,200",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Porsche_911_No_1000000%2C_70_Years_Porsche_Sports_Car%2C_Berlin_%281X7A3888%29.jpg/640px-Porsche_911_No_1000000%2C_70_Years_Porsche_Sports_Car%2C_Berlin_%281X7A3888%29.jpg
2,Lamborghini,Huracan,2021,5.2,630,443,2.8,"274,390",https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/2017_Lamborghini_Huracan_LP610.jpg/640px-2017_Lamborghini_Huracan_LP610.jpg
3,Ferrari,488 GTB,2022,3.9,661,561,3,"333,750",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/2018_Ferrari_488_GTB_4.jpg/640px-2018_Ferrari_488_GTB_4.jpg
4,Audi,R8,2022,5.2,562,406,3.2,"142,700",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/2018_Audi_R8_Coupe_V10_plus_Front.jpg/640px-2018_Audi_R8_Coupe_V10_plus_Front.jpg
5,McLaren,720S,2021,4,710,568,2.7,"298,000",https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/2018_McLaren_720S_V8_S-A_4.0.jpg/640px-2018_McLaren_720S_V8_S-A_4.0.jpg
6,BMW,M8,2022,4.4,617,553,3.1,"130,000",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/BMW_M8_Competition_IMG_3364.jpg/640px-BMW_M8_Competition_IMG_3364.jpg
7,Mercedes-Benz,AMG GT,2021,4,523,494,3.8,"118,500",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Mercedes-AMG_S_63%2C_Frankfurt_%281Y7A3450%29.jpg/640px-Mercedes-AMG_S_63%2C_Frankfurt_%281Y7A3450%29.jpg
8,Chevrolet,Corvette,2021,6.2,490,465,2.8,"59,900",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/2021_Chevrolet_Corvette_C8.jpg/640px-2021_Chevrolet_Corvette_C8.jpg
9,Ford,Mustang Shelby GT500,2022,5.2,760,625,3.5,"81,000",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/2018_Ford_Mustang_GT_5.0.jpg/640px-2018_Ford_Mustang_GT_5.0.jpg
10,Nissan,GT-R Nismo,2021,3.8,600,481,2.5,"212,000",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/2018_Nissan_GT-R_Premium_in_Super_Silver%2C_Front_Right%2C_10-11-2022.jpg/640px-2018_Nissan_GT-R_Premium_in_Super_Silver%2C_Front_Right%2C_10-11-2022.jpg
11,Aston Martin,DB11,2021,5.2,630,516,3.5,"201,495",https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/2018_Aston_Martin_DB11_V8_Automatic_4.0_Front.jpg/640px-2018_Aston_Martin_DB11_V8_Automatic_4.0_Front.jpg
12,Bugatti,Chiron,2021,8,1500,1180,2.4,"3,000,000",https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Bugatti_Chiron_1.jpg/640px-Bugatti_Chiron_1.jpg
13,Dodge,Challenger SRT Hellcat,2022,6.2,717,656,3.5,"61,000",https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Dodge_Challenger_SRT8_%282015%29_Hirschaid-20220709-RM-120221.jpg/640px-Dodge_Challenger_SRT8_%282015%29_Hirschaid-20220709-RM-120221.jpg
14,Jaguar,F-Type,2022,3,296,295,5.4,"70,100",https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/2024_Jaguar_F-Type_Heritage.jpg/640px-2024_Jaguar_F-Type_Heritage.jpg
15,Koenigsegg,Jesko,2021,5,1280,1015,2.5,"2,800,000",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/GIMS_2019%2C_Le_Grand-Saconnex_%28GIMS0833%29.jpg/640px-GIMS_2019%2C_Le_Grand-Saconnex_%28GIMS0833%29.jpg
16,Lexus,LC 500,2021,5,471,398,4.4,"92,950",https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/2023_Lexus_LC500_in_Atomic_Silver%2C_front_left.jpg/640px-2023_Lexus_LC500_in_Atomic_Silver%2C_front_left.jpg
17,Lotus,Evora GT,2021,3.5,416,317,3.8,"104,450",https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/2017_Lotus_Evora_400%2C_sky_blue%2C_front_left.jpg/640px-2017_Lotus_Evora_400%2C_sky_blue%2C_front_left.jpg
18,Maserati,GranTurismo,2021,4.7,454,384,4.8,"150,000",https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Maserati_GranTurismo_Trofeo_1X7A0828.jpg/640px-Maserati_GranTurismo_Trofeo_1X7A0828.jpg
19,Porsche,Boxster,2021,2,300,280,4.7,"62,000",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Porsche_718_Boxster_Spyder_IMG_2961.jpg/640px-Porsche_718_Boxster_Spyder_IMG_2961.jpg
20,Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505,443,3.8,"78,000",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Alfa_Romeo_Giulia_Super_%28cropped%29.jpg/640px-Alfa_Romeo_Giulia_Super_%28cropped%29.jpg
21,Ariel,Atom,2021,2,320,243,2.8,"75,000",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/ArielAtomGoodwood.jpg/640px-ArielAtomGoodwood.jpg
22,Bentley,Continental GT,2021,6,626,664,3.6,"225,000",https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/1956_Bentley_Continental_coup%C3%A9_by_Park_Ward.jpg/640px-1956_Bentley_Continental_coup%C3%A9_by_Park_Ward.jpg
23,McLaren,Artura,2022,3,671,531,3,"225,000",https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/2021_McLaren_Artura_%281%29.jpg/640px-2021_McLaren_Artura_%281%29.jpg
24,Mercedes-AMG,SLS AMG,2021,6.2,622,468,3.5,"248,000",/placeholder-car.jpg
