id,make,model,year,engine,horsepower,torque,acceleration,price
1,Porsche,911,2022,3,379,331,4,"101,200"
2,Lamborghini,Huracan,2021,5.2,630,443,2.8,"274,390"
3,Ferrari,488 GTB,2022,3.9,661,561,3,"333,750"
4,Audi,R8,2022,5.2,562,406,3.2,"142,700"
5,McLaren,720S,2021,4,710,568,2.7,"298,000"
6,BMW,M8,2022,4.4,617,553,3.1,"130,000"
7,Mercedes-Benz,AMG GT,2021,4,523,494,3.8,"118,500"
8,Chevrolet,Corvette,2021,6.2,490,465,2.8,"59,900"
9,Ford,Mustang Shelby GT500,2022,5.2,760,625,3.5,"81,000"
10,Nissan,GT-R Nismo,2021,3.8,600,481,2.5,"212,000"
11,Aston Martin,DB11,2021,5.2,630,516,3.5,"201,495"
12,Bugatti,Chiron,2021,8,1500,1180,2.4,"3,000,000"
13,Dodge,Challenger SRT Hellcat,2022,6.2,717,656,3.5,"61,000"
14,Jaguar,F-Type,2022,3,296,295,5.4,"70,100"
15,Koenigsegg,Jesko,2021,5,1280,1015,2.5,"2,800,000"
16,Lexus,LC 500,2021,5,471,398,4.4,"92,950"
17,Lotus,Evora GT,2021,3.5,416,317,3.8,"104,450"
18,Maserati,GranTurismo,2021,4.7,454,384,4.8,"150,000"
19,Porsche,Boxster,2021,2,300,280,4.7,"62,000"
20,Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505,443,3.8,"78,000"
21,Ariel,Atom,2021,2,320,243,2.8,"75,000"
22,Bentley,Continental GT,2021,6,626,664,3.6,"225,000"
23,McLaren,Artura,2022,3,671,531,3,"225,000"
24,Mercedes-AMG,SLS AMG,2021,6.2,622,468,3.5,"248,000"
25,Pagani,Huayra,2021,6,720,737,2.8,"2,800,000"
26,Polestar,1,2021,2,600,738,4.1,"155,000"
27,Rimac,Nevera,2022,Electric,1914,1696,1.85,"2,400,000"
28,Porsche,Cayman GT4,2022,4,414,309,3.8,"100,200"
29,Lamborghini,Aventador SVJ,2021,6.5,759,531,2.8,"517,770"
30,Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000"
31,Audi,RS7,2022,4,591,590,3.5,"117,000"
32,McLaren,Artura,2021,3,671,531,3,"225,000"
